family,lower_model,higher_model,domain,metric,n_matched_prompts,mean_difference_higher_minus_lower,ci_lo,ci_hi
Qwen,qwen35_9b,qwen35_27b,overall,control_centroid,2857,0.00778284122539736,0.005038029706132065,0.010625836062078248
Qwen,qwen35_9b,qwen35_27b,overall,coupling_excess,2863,-0.0006324347840154481,-0.002046324616384579,0.000687640834523325
Qwen,qwen35_4b,qwen35_27b,math,dialectical_amount,367,-0.0230050472799173,-0.03280203878072159,-0.013675337053732152
Qwen,qwen35_4b,qwen35_27b,math,control_amount,367,0.012191835483932953,0.00389457163943601,0.020597066606338768
Qwen,qwen35_4b,qwen35_27b,math,dialectical_centroid,365,0.0022511432427415245,-0.00534383632417525,0.010229399238699359
Qwen,qwen35_4b,qwen35_27b,math,control_centroid,367,0.0016470497349724217,-0.004386123426588766,0.007103948815874217
Qwen,qwen35_4b,qwen35_27b,math,coupling_excess,367,-0.004652737579739204,-0.00820341040114939,-0.0005324817966219931
Qwen,qwen35_4b,qwen35_27b,code,dialectical_amount,89,0.0043955420694657184,-0.018655594205754043,0.026395931446083702
Qwen,qwen35_4b,qwen35_27b,code,control_amount,89,-0.014646069043325667,-0.031009759023766636,0.001258941704338234
Qwen,qwen35_4b,qwen35_27b,code,dialectical_centroid,87,0.003367231321258034,-0.014958287560073922,0.02343263837842645
Qwen,qwen35_4b,qwen35_27b,code,control_centroid,89,0.009513068739502561,-0.01047643855722156,0.03100359555609024
Qwen,qwen35_4b,qwen35_27b,code,coupling_excess,89,-0.00839985565774001,-0.016437877963519597,-0.0004957285979229432
Qwen,qwen35_4b,qwen35_27b,gpqa,dialectical_amount,339,-0.04487209355004014,-0.05256317372968641,-0.03718141011904642
Qwen,qwen35_4b,qwen35_27b,gpqa,control_amount,339,0.009848707777805823,0.003480508177595134,0.016143197369190777
Qwen,qwen35_4b,qwen35_27b,gpqa,dialectical_centroid,339,0.006166060473401145,0.0018400652584911244,0.010384033924129803
Qwen,qwen35_4b,qwen35_27b,gpqa,control_centroid,339,0.009162737781661982,0.0037344340461469387,0.014586871972582058
Qwen,qwen35_4b,qwen35_27b,gpqa,coupling_excess,339,-0.002099389300589448,-0.004968864258055453,0.0004989808641334088
Qwen,qwen35_4b,qwen35_27b,planning,dialectical_amount,448,-0.05331559190913747,-0.06191707628894803,-0.0455548529997679
Qwen,qwen35_4b,qwen35_27b,planning,control_amount,448,0.015112055928437163,0.008262993964279368,0.02276686946728719
Qwen,qwen35_4b,qwen35_27b,planning,dialectical_centroid,448,0.01242143602846727,0.005316418224276275,0.018914258657867965
Qwen,qwen35_4b,qwen35_27b,planning,control_centroid,448,0.02426467199850182,0.018846383099721132,0.030233287201000558
Qwen,qwen35_4b,qwen35_27b,planning,coupling_excess,448,0.0007132996000382825,-0.0022195918798982536,0.0035135132935728286
Qwen,qwen35_4b,qwen35_27b,moral,dialectical_amount,418,-0.005028682419946357,-0.014419087056246825,0.00425457629753577
Qwen,qwen35_4b,qwen35_27b,moral,control_amount,418,-0.0025784408435260858,-0.010146494049540062,0.005221870782386621
Qwen,qwen35_4b,qwen35_27b,moral,dialectical_centroid,418,0.013605705581062331,0.006709941821080274,0.02014841160284309
Qwen,qwen35_4b,qwen35_27b,moral,control_centroid,418,0.02700975830340774,0.018452242416194656,0.03604268727623639
Qwen,qwen35_4b,qwen35_27b,moral,coupling_excess,418,0.005346216789885416,0.0014239886006894775,0.009000677188175992
Qwen,qwen35_4b,qwen35_27b,idea,dialectical_amount,161,-0.06366174987433429,-0.0812098637240562,-0.04766514341476312
Qwen,qwen35_4b,qwen35_27b,idea,control_amount,161,-0.022892909925922172,-0.03607739927505025,-0.009140453823187065
Qwen,qwen35_4b,qwen35_27b,idea,dialectical_centroid,161,-0.0025121704691709297,-0.009102399781360689,0.004849363381803978
Qwen,qwen35_4b,qwen35_27b,idea,control_centroid,161,0.006746332111140921,-0.0008233845267917295,0.014518235999195897
Qwen,qwen35_4b,qwen35_27b,idea,coupling_excess,161,-0.005712439198722609,-0.010789767393771943,-0.00037865461749730895
Qwen,qwen35_4b,qwen35_27b,safety,dialectical_amount,291,0.0040969547431598105,-0.0074044502853288586,0.017565015561715327
Qwen,qwen35_4b,qwen35_27b,safety,control_amount,291,0.0027719441249211977,-0.011985905900937184,0.01721687051477702
Qwen,qwen35_4b,qwen35_27b,safety,dialectical_centroid,284,0.005600975142248515,-0.0055495111514884685,0.01695230711870497
Qwen,qwen35_4b,qwen35_27b,safety,control_centroid,284,0.017268820903522535,0.0036561353157735974,0.030357560503047113
Qwen,qwen35_4b,qwen35_27b,safety,coupling_excess,291,0.005412774904040477,-0.0011928801216732484,0.012022726742028767
Qwen,qwen35_4b,qwen35_27b,security,dialectical_amount,183,-0.05391932098189316,-0.06966870465180197,-0.03822849133155102
Qwen,qwen35_4b,qwen35_27b,security,control_amount,183,0.008934273274931823,-0.004566513977284243,0.021534400336103075
Qwen,qwen35_4b,qwen35_27b,security,dialectical_centroid,183,0.0072000552579741875,-0.005481274142972793,0.019136356007196452
