task_type,family,model_a,model_b,js_distance,correlation_distance,ci_low,ci_high,bootstrap_reps
math,dialectical,qwen35_4b,qwen35_27b,0.022975435116545595,0.07729414984778782,0.023207613245315166,0.04119008162280684,200
math,executive,qwen35_4b,qwen35_27b,0.01551548998864117,0.24013023597500183,0.01668393315328056,0.029820881223926357,200
math,dialectical,qwen35_9b,qwen35_27b,0.01869345892276258,0.05382510924651951,0.022363190381627946,0.039665404881834246,200
math,executive,qwen35_9b,qwen35_27b,0.018288152019198964,0.3164198011208882,0.017079437891986633,0.03176313231745042,200
code,dialectical,reasoner,gemma4_e4b,0.0557201437507001,0.5704505078266763,0.047870025981649994,0.08670781069003798,200
code,executive,reasoner,gemma4_e4b,0.051241997287795764,0.28785214580765883,0.044403398785474696,0.07977951267282998,200
code,dialectical,reasoner,gemma4_31b,0.07845501023421715,0.8677382289488382,0.06732325397008568,0.10389918761525105,200
code,executive,reasoner,gemma4_31b,0.05352979221996727,0.1171360161539301,0.0477160443915902,0.08052280777953101,200
code,dialectical,reasoner,qwen35_4b,0.07760755350168563,0.635067803686223,0.06737279568535244,0.11884707929027902,200
code,executive,reasoner,qwen35_4b,0.09396495762036854,1.3554394412725879,0.07720508189089081,0.1332514862211022,200
code,dialectical,reasoner,qwen35_9b,0.08956992317810997,0.6809606190607014,0.0818926996116742,0.13251918710758032,200
code,executive,reasoner,qwen35_9b,0.08081954178673323,0.6829636964191401,0.07082941770325234,0.11870397016178397,200
code,dialectical,reasoner,qwen35_27b,0.03388244959128878,0.4526902388318258,0.03284845638337553,0.058111192968891605,200
code,executive,reasoner,qwen35_27b,0.04517061014547069,0.26870717182624493,0.03707716773339661,0.07391285660089848,200
code,dialectical,gemma4_e4b,gemma4_31b,0.082561179902231,0.6967385788997942,0.07418333308954103,0.11246966638553285,200
code,executive,gemma4_e4b,gemma4_31b,0.06489806310072717,0.20779071686269102,0.055499391605335825,0.09395047244171899,200
code,dialectical,gemma4_e4b,qwen35_4b,0.10475147888026491,1.0473757686877154,0.09247098413696471,0.14669276650084714,200
code,executive,gemma4_e4b,qwen35_4b,0.10313179316304703,1.3377357568909711,0.08802910692480617,0.14381380898858923,200
code,dialectical,gemma4_e4b,qwen35_9b,0.11774767957947917,1.141967646721595,0.10629416291970062,0.1619275670845587,200
code,executive,gemma4_e4b,qwen35_9b,0.07447762726574794,0.4951716605295531,0.06781045189043904,0.11609441077840223,200
code,dialectical,gemma4_e4b,qwen35_27b,0.07465365705373922,1.1100020175730865,0.06169961849530797,0.10884555690535581,200
code,executive,gemma4_e4b,qwen35_27b,0.06406689609248618,0.5558510404414951,0.055397457132393156,0.09601947235769423,200
code,dialectical,gemma4_31b,qwen35_4b,0.09011584530274047,0.7111108944924207,0.07764524825184847,0.13622907636762258,200
code,executive,gemma4_31b,qwen35_4b,0.12147517571615356,1.159881202738015,0.10623408951191844,0.15850928109229326,200
code,dialectical,gemma4_31b,qwen35_9b,0.08636241410919016,0.5569857399499685,0.07561735881217585,0.1384409035498387,200
code,executive,gemma4_31b,qwen35_9b,0.09515844944325795,0.4880864789462176,0.08397990595889533,0.13804709467245938,200
code,dialectical,gemma4_31b,qwen35_27b,0.07809043792346296,0.8396545166349705,0.07054183689121092,0.10727106102349795,200
code,executive,gemma4_31b,qwen35_27b,0.08919811256143918,0.4657849829939795,0.07670782530010455,0.11853283596796109,200
code,dialectical,qwen35_4b,qwen35_9b,0.06383386255865181,0.26935792001142134,0.0640750149839054,0.11779239422044302,200
code,executive,qwen35_4b,qwen35_9b,0.07200711416468068,0.6586741504541049,0.06347050108333273,0.12140612536541467,200
code,dialectical,qwen35_4b,qwen35_27b,0.06179177300991129,0.2522077745819391,0.05137071546806023,0.10479588311447405,200
code,executive,qwen35_4b,qwen35_27b,0.06799549581168807,1.394435510630212,0.059180827085843955,0.11861203594898799,200
code,dialectical,qwen35_9b,qwen35_27b,0.07440598982114034,0.30595834343359285,0.06818380829540474,0.12096837953313638,200
code,executive,qwen35_9b,qwen35_27b,0.07328476315607706,0.8440134185645618,0.06602688158091362,0.11997966465765923,200
gpqa,dialectical,reasoner,gemma4_e4b,0.0681459568962366,0.14624547237002516,0.05781589566232757,0.08592273215141524,200
gpqa,executive,reasoner,gemma4_e4b,0.1278245157282233,1.0163016653160029,0.11975188296592078,0.14250883551844354,200
gpqa,dialectical,reasoner,gemma4_31b,0.0554993056112685,0.20044862566551247,0.046908115206083234,0.07096948686344536,200
gpqa,executive,reasoner,gemma4_31b,0.07670002878524904,0.11950944650369144,0.06567691337598158,0.09576763871099868,200
gpqa,dialectical,reasoner,qwen35_4b,0.04359134673807073,0.17817080927729012,0.03881962693733579,0.053470219133063525,200
gpqa,executive,reasoner,qwen35_4b,0.024006197147259482,0.12956019119766848,0.02427660305519901,0.04218762764834746,200
gpqa,dialectical,reasoner,qwen35_9b,0.04118794341605898,0.17713963913856956,0.03636506741372431,0.050072169834781854,200
gpqa,executive,reasoner,qwen35_9b,0.027338467968646696,0.17929171379834985,0.02534079394660915,0.04527010814186451,200
gpqa,dialectical,reasoner,qwen35_27b,0.03848805797314221,0.14829262913781405,0.03362150409426947,0.047887481659344484,200
gpqa,executive,reasoner,qwen35_27b,0.02386153194877465,0.1520624210681225,0.023453697317746058,0.04205528651560907,200
