gen_model,family,profile,distance
reasoner,dialectical,amount,0.014785826930854153
reasoner,dialectical,amount,0.005261772371776682
reasoner,dialectical,amount,0.007831859826728344
reasoner,dialectical,amount,0.009281734823168636
reasoner,dialectical,amount,0.007990310195494035
reasoner,dialectical,amount,0.02191140436413929
reasoner,dialectical,amount,0.0056794194394846525
reasoner,dialectical,amount,0.004966889165002257
reasoner,dialectical,amount,0.00996056074702204
reasoner,dialectical,amount,0.011738985022301465
reasoner,dialectical,amount,0.012380577810767568
reasoner,dialectical,amount,0.009711171079030535
reasoner,dialectical,amount,0.008238397523221003
reasoner,dialectical,amount,0.006568199493635363
reasoner,dialectical,amount,0.012518368777386348
reasoner,dialectical,amount,0.013080776835666944
reasoner,dialectical,amount,0.010969584245945043
reasoner,dialectical,amount,0.005347575168905061
reasoner,dialectical,amount,0.02175156790272934
reasoner,dialectical,amount,0.010990147751620584
reasoner,dialectical,amount,0.007349576095938857
reasoner,dialectical,amount,0.005010367371777321
reasoner,dialectical,amount,0.008185399183447885
reasoner,dialectical,amount,0.018465092519139616
reasoner,dialectical,amount,0.014449441405605562
reasoner,dialectical,amount,0.0051815561923625846
reasoner,dialectical,amount,0.019547687319262333
reasoner,dialectical,amount,0.005870210192988863
reasoner,dialectical,amount,0.025668277705023182
reasoner,dialectical,amount,0.011185512481364056
reasoner,dialectical,amount,0.006125954043710239
reasoner,dialectical,amount,0.015208039833688567
reasoner,dialectical,amount,0.014512534073568112
reasoner,dialectical,amount,0.011722380189405404
reasoner,dialectical,amount,0.00848574050210901
reasoner,dialectical,amount,0.011215302608244868
reasoner,dialectical,amount,0.010816167504716997
reasoner,dialectical,amount,0.009335179133788955
reasoner,dialectical,amount,0.016163717363467136
reasoner,dialectical,amount,0.005561268920991857
reasoner,dialectical,amount,0.019189373772423253
reasoner,dialectical,amount,0.002137928062648387
reasoner,dialectical,amount,0.012328699245563493
reasoner,dialectical,amount,0.01879445929370372
reasoner,dialectical,amount,0.011365675016532717
reasoner,dialectical,amount,0.00504425513311561
reasoner,dialectical,amount,0.03247316113670478
reasoner,dialectical,amount,0.006480129518475643
reasoner,dialectical,amount,0.02021258978512952
reasoner,dialectical,amount,0.015258713720535076
reasoner,dialectical,amount,0.014808495866528135
reasoner,dialectical,amount,0.00946702772014151
reasoner,dialectical,amount,0.017670612164977204
reasoner,dialectical,amount,0.01023687685272023
reasoner,dialectical,amount,0.005877552093928795
reasoner,dialectical,amount,0.00987285610137241
reasoner,dialectical,amount,0.010213444130769925
reasoner,dialectical,amount,0.017307894255148226
reasoner,dialectical,amount,0.0032761626825601685
reasoner,dialectical,amount,0.02510372533975741
reasoner,dialectical,amount,0.013118045959668163
reasoner,dialectical,amount,0.006975167250747293
reasoner,dialectical,amount,0.007421027599079435
reasoner,dialectical,amount,0.016323290199144448
