split,prefix,feature_set,feature,coef
random_trace,0.5,time_shuffled,difficulty_raw=Chemistry,0.09532043807808738
random_trace,0.5,time_shuffled,difficulty_raw=landmarks_mcq,0.08880957821123331
random_trace,0.5,time_shuffled,difficulty_raw=Biology,0.0865148981236557
random_trace,0.5,time_shuffled,difficulty_raw=applicable_actions_mc,0.08073252609504149
random_trace,0.5,time_shuffled,difficulty_raw=medium,-0.07848259792650758
prompt_disjoint,0.75,metadata,task_type=math,-0.5026256527377686
prompt_disjoint,0.75,metadata,gen_model=qwen35_27b,0.40750483734918896
prompt_disjoint,0.75,metadata,gen_model=qwen35_9b,0.3272017307979478
prompt_disjoint,0.75,metadata,task_type=idea,0.30048993969325916
prompt_disjoint,0.75,metadata,difficulty_raw=hard,-0.29707354762963
prompt_disjoint,0.75,metadata,gen_model=qwen35_4b,0.27863031926803056
prompt_disjoint,0.75,metadata,gen_model=reasoner,0.2743045578506272
prompt_disjoint,0.75,metadata,difficulty_raw=__missing__,0.26615307865195464
prompt_disjoint,0.75,metadata,task_type=gpqa,0.20644824463799205
prompt_disjoint,0.75,metadata,difficulty_raw=Physics,0.20537700484436566
prompt_disjoint,0.75,metadata,difficulty_raw=easy,0.1685846241362428
prompt_disjoint,0.75,metadata,task_type=planning,0.16153104107885896
prompt_disjoint,0.75,metadata,difficulty_raw=progression_mcq,0.1150043237522543
prompt_disjoint,0.75,metadata,difficulty_raw=Biology,0.092186486097245
prompt_disjoint,0.75,metadata,difficulty_raw=medium,-0.08959315060601154
prompt_disjoint,0.75,metadata,difficulty_raw=applicable_actions_mc,0.08399048301579116
prompt_disjoint,0.75,metadata,difficulty_raw=4,0.08251481639937804
prompt_disjoint,0.75,metadata,difficulty_raw=landmarks_mcq,0.07319490757039468
prompt_disjoint,0.75,metadata,difficulty_raw=3,0.06445517516606743
prompt_disjoint,0.75,metadata,difficulty_raw=reachable_atom_mc,0.057105079521989593
prompt_disjoint,0.75,length,task_type=math,-0.5373092915063241
prompt_disjoint,0.75,length,gen_model=qwen35_27b,0.45643732317444013
prompt_disjoint,0.75,length,gen_model=qwen35_9b,0.39038759773305337
prompt_disjoint,0.75,length,gen_model=qwen35_4b,0.35466003842371546
prompt_disjoint,0.75,length,task_type=idea,0.30158639817580457
prompt_disjoint,0.75,length,gen_model=reasoner,0.2922841433113186
prompt_disjoint,0.75,length,difficulty_raw=hard,-0.27178904722947245
prompt_disjoint,0.75,length,difficulty_raw=__missing__,0.2672207082019101
prompt_disjoint,0.75,length,task_type=gpqa,0.22294478354084357
prompt_disjoint,0.75,length,difficulty_raw=Physics,0.20315957523982775
prompt_disjoint,0.75,length,task_type=planning,0.1689180673350067
prompt_disjoint,0.75,length,difficulty_raw=easy,0.1609320957100259
prompt_disjoint,0.75,length,prefix_segments,-0.153478210800186
prompt_disjoint,0.75,length,difficulty_raw=progression_mcq,0.10941807320209462
prompt_disjoint,0.75,length,difficulty_raw=4,0.09355814072376308
prompt_disjoint,0.75,length,difficulty_raw=medium,-0.08690569712941391
prompt_disjoint,0.75,length,difficulty_raw=Biology,0.08596334783336695
prompt_disjoint,0.75,length,difficulty_raw=applicable_actions_mc,0.08375977424596417
prompt_disjoint,0.75,length,difficulty_raw=landmarks_mcq,0.08222974999788779
prompt_disjoint,0.75,length,difficulty_raw=3,0.07124033664825927
prompt_disjoint,0.75,counts,task_type=math,-0.604659242459096
prompt_disjoint,0.75,counts,gen_model=reasoner,0.4754816353157918
prompt_disjoint,0.75,counts,gen_model=qwen35_27b,0.4114444165715998
prompt_disjoint,0.75,counts,gen_model=qwen35_9b,0.36030089172712465
prompt_disjoint,0.75,counts,gen_model=qwen35_4b,0.33244219429505284
prompt_disjoint,0.75,counts,task_type=idea,0.3087145258785115
prompt_disjoint,0.75,counts,rate_Conflict_of_Perspectives,-0.294829986721039
prompt_disjoint,0.75,counts,difficulty_raw=__missing__,0.2838982871498144
prompt_disjoint,0.75,counts,task_type=gpqa,0.27978909905561966
prompt_disjoint,0.75,counts,difficulty_raw=hard,-0.25512795990510784
prompt_disjoint,0.75,counts,difficulty_raw=Physics,0.23581115749135464
prompt_disjoint,0.75,counts,difficulty_raw=easy,0.162593003001873
prompt_disjoint,0.75,counts,task_type=planning,0.1521507786083675
prompt_disjoint,0.75,counts,rate_backtracking,-0.12846216138766844
prompt_disjoint,0.75,counts,difficulty_raw=progression_mcq,0.10482881750817842
prompt_disjoint,0.75,counts,difficulty_raw=4,0.10281337679713087
prompt_disjoint,0.75,counts,difficulty_raw=Chemistry,0.1024667942527667
prompt_disjoint,0.75,counts,difficulty_raw=landmarks_mcq,0.09581381934683499
prompt_disjoint,0.75,counts,rate_verification,0.09250666694275889
prompt_disjoint,0.75,counts,difficulty_raw=Biology,0.08949227032811248
prompt_disjoint,0.75,temporal,task_type=math,-0.5931088095394235
prompt_disjoint,0.75,temporal,rate_Question_and_Answering,0.4911008095588931
prompt_disjoint,0.75,temporal,gen_model=reasoner,0.46336793885136235
prompt_disjoint,0.75,temporal,gen_model=qwen35_27b,0.38903820640754005
prompt_disjoint,0.75,temporal,rate_Reconciliation,0.360297954484418
prompt_disjoint,0.75,temporal,gen_model=qwen35_9b,0.3352553269177545
prompt_disjoint,0.75,temporal,rate_Perspective_Shift,-0.32611621713942884
prompt_disjoint,0.75,temporal,gen_model=qwen35_4b,0.30702904926035146
prompt_disjoint,0.75,temporal,task_type=idea,0.2846503037745101
prompt_disjoint,0.75,temporal,task_type=gpqa,0.27999272834898165
prompt_disjoint,0.75,temporal,difficulty_raw=__missing__,0.27379859894412956
prompt_disjoint,0.75,temporal,difficulty_raw=hard,-0.2564811752151507
prompt_disjoint,0.75,temporal,difficulty_raw=Physics,0.23664571953815777
prompt_disjoint,0.75,temporal,bin3_Conflict_of_Perspectives,-0.21533898172496466
prompt_disjoint,0.75,temporal,bin3_Reconciliation,-0.21061777017729244
prompt_disjoint,0.75,temporal,rate_subgoal,-0.19251968089952504
prompt_disjoint,0.75,temporal,bin2_Question_and_Answering,-0.18924533616475264
prompt_disjoint,0.75,temporal,bin1_Question_and_Answering,-0.1824499772652483
prompt_disjoint,0.75,temporal,bin2_Conflict_of_Perspectives,-0.18070941025599452
prompt_disjoint,0.75,temporal,bin3_subgoal,0.17774594435291657
prompt_disjoint,0.75,time_shuffled,task_type=math,-0.604697661871602
prompt_disjoint,0.75,time_shuffled,gen_model=reasoner,0.47556786386745253
prompt_disjoint,0.75,time_shuffled,gen_model=qwen35_27b,0.41139367347396544
prompt_disjoint,0.75,time_shuffled,gen_model=qwen35_9b,0.3602586356380764
prompt_disjoint,0.75,time_shuffled,gen_model=qwen35_4b,0.33240468600566
prompt_disjoint,0.75,time_shuffled,task_type=idea,0.30871328609529675
prompt_disjoint,0.75,time_shuffled,difficulty_raw=__missing__,0.2839106505160615
prompt_disjoint,0.75,time_shuffled,task_type=gpqa,0.2798197036336197
prompt_disjoint,0.75,time_shuffled,difficulty_raw=hard,-0.2551148878162324
prompt_disjoint,0.75,time_shuffled,difficulty_raw=Physics,0.23582680908959155
prompt_disjoint,0.75,time_shuffled,difficulty_raw=easy,0.16259497044440152
prompt_disjoint,0.75,time_shuffled,task_type=planning,0.15213705209294703
prompt_disjoint,0.75,time_shuffled,difficulty_raw=progression_mcq,0.10482922313095229
prompt_disjoint,0.75,time_shuffled,difficulty_raw=4,0.10281230157259785
prompt_disjoint,0.75,time_shuffled,difficulty_raw=Chemistry,0.10249259463236064
prompt_disjoint,0.75,time_shuffled,difficulty_raw=landmarks_mcq,0.09582472955378467
prompt_disjoint,0.75,time_shuffled,difficulty_raw=Biology,0.08949624564883905
prompt_disjoint,0.75,time_shuffled,difficulty_raw=5,0.087882502224463
prompt_disjoint,0.75,time_shuffled,prefix_segments,-0.08621538456009335
prompt_disjoint,0.75,time_shuffled,difficulty_raw=applicable_actions_mc,0.08258420703461584
random_trace,0.75,metadata,task_type=math,-0.5026256527377686
random_trace,0.75,metadata,gen_model=qwen35_27b,0.40750483734918896
random_trace,0.75,metadata,gen_model=qwen35_9b,0.3272017307979478
random_trace,0.75,metadata,task_type=idea,0.30048993969325916
random_trace,0.75,metadata,difficulty_raw=hard,-0.29707354762963
random_trace,0.75,metadata,gen_model=qwen35_4b,0.27863031926803056
random_trace,0.75,metadata,gen_model=reasoner,0.2743045578506272
random_trace,0.75,metadata,difficulty_raw=__missing__,0.26615307865195464
random_trace,0.75,metadata,task_type=gpqa,0.20644824463799205
random_trace,0.75,metadata,difficulty_raw=Physics,0.20537700484436566
random_trace,0.75,metadata,difficulty_raw=easy,0.1685846241362428
random_trace,0.75,metadata,task_type=planning,0.16153104107885896
