gen_model,model_label,task_type,signature_family,high_n,low_n,incomplete_n,n,status,length_auroc,amount_auroc,full_auroc,amount_gain_bits,amount_gain_ci_low,amount_gain_ci_high,amount_p_value,timing_gain_bits,timing_gain_ci_low,timing_gain_ci_high,timing_p_value,amount_q_value,timing_q_value,amount_supported,timing_supported
qwen35_4b,Qwen3.5 4B,idea,cognitive,134,27,0,161,estimated,0.5110558319513543,0.42841348811498065,0.4320066334991708,-0.06484611675137258,-0.13622368039906743,-0.013382773755045494,0.991008991008991,-0.026725822790494413,-0.08175604698296263,0.033973142255502194,0.7972027972027972,1.0,1.0,False,False
qwen35_4b,Qwen3.5 4B,math,conversational,217,191,1,408,estimated,0.5994402489926894,0.5983062706589138,0.5949767172533598,-0.0032476954243701125,-0.027786925331830484,0.023073802815705445,0.6093906093906094,-0.0027413677003222505,-0.023746381448022894,0.018845105817209367,0.6303696303696303,0.9293040293040293,1.0,False,False
qwen35_4b,Qwen3.5 4B,math,cognitive,217,191,1,408,estimated,0.5994402489926894,0.5929259053731272,0.5635389774893237,-0.008403789855157523,-0.03246743445371507,0.012994078298761081,0.7452547452547452,-0.024814785367917307,-0.04199109521089903,-0.00807472001158705,0.999000999000999,1.0,1.0,False,False
qwen35_4b,Qwen3.5 4B,moral,conversational,210,210,0,420,estimated,0.4068253968253968,0.446281179138322,0.5276870748299319,-0.012107558158626052,-0.02631902955069491,0.0008367087112642649,0.9590409590409591,-0.00036971709592693316,-0.03021074916036762,0.03198082601709092,0.4985014985014985,1.0,1.0,False,False
qwen35_4b,Qwen3.5 4B,moral,cognitive,210,210,0,420,estimated,0.4068253968253968,0.5512471655328798,0.5390022675736962,0.021869492285005697,-0.004780568899995787,0.04809356552277535,0.04195804195804196,-0.0270219007175255,-0.06692766188766194,0.000296347795557746,0.955044955044955,0.27615241900956183,1.0,False,False
qwen35_4b,Qwen3.5 4B,planning,conversational,367,62,5,429,estimated,0.663619583369957,0.679704667311242,0.7788081216489409,-0.006214684392728234,-0.030974589478250443,0.021717958569579355,0.6483516483516484,0.03334642478742096,-0.023261917144042677,0.08977177923771422,0.1258741258741259,0.9293040293040293,1.0,False,False
qwen35_4b,Qwen3.5 4B,planning,cognitive,367,62,5,429,estimated,0.663619583369957,0.7370132723916674,0.7134130262810935,0.016076439044033875,-0.04349902085169627,0.0656122478008221,0.2987012987012987,-0.008739715807661244,-0.02844849436830544,0.011785513278651622,0.7652347652347652,0.7486798915370344,1.0,False,False
qwen35_4b,Qwen3.5 4B,safety,conversational,291,0,0,291,insufficient_high_low_support,,,,,,,,,,,,,,False,False
qwen35_4b,Qwen3.5 4B,safety,cognitive,291,0,0,291,insufficient_high_low_support,,,,,,,,,,,,,,False,False
qwen35_4b,Qwen3.5 4B,security,conversational,139,43,1,182,estimated,0.7157436841224695,0.7388321900619039,0.7550610674251297,-0.0007102272946666749,-0.07787645245483676,0.06197242558274862,0.5224775224775224,-0.004062251205693912,-0.07707381587737396,0.06372806447312332,0.5124875124875125,0.90125560713796,1.0,False,False
qwen35_4b,Qwen3.5 4B,security,cognitive,139,43,1,182,estimated,0.7157436841224695,0.749372594947298,0.703195583068429,0.01864361525468534,-0.05566018504632272,0.08685494908104537,0.32867132867132864,-0.057845754309313824,-0.11639413309815211,-0.003997654222709431,0.98001998001998,0.7639387639387639,1.0,False,False
qwen35_9b,Qwen3.5 9B,code,conversational,76,50,2,126,estimated,0.7557894736842106,0.7707894736842106,0.7657894736842106,-0.23452442505405557,-0.8553546871384019,0.10702665722344451,0.6003996003996004,-0.02517492501978068,-0.14392869519320795,0.07291903970965498,0.7022977022977023,0.9293040293040293,1.0,False,False
qwen35_9b,Qwen3.5 9B,code,cognitive,76,50,2,126,estimated,0.7557894736842106,0.8947368421052632,0.8618421052631579,0.23821834745388765,0.07681778327680928,0.38134627030169155,0.000999000999000999,-0.06284587526619918,-0.13588865892196225,0.00843936001079135,0.955044955044955,0.04295704295704296,1.0,True,False
qwen35_9b,Qwen3.5 9B,gpqa,conversational,326,87,4,413,estimated,0.6441717791411042,0.6776673013186658,0.6782314364290247,0.016365881042171897,-0.010489880309484402,0.04014677659988594,0.12287712287712288,-0.022676361178340855,-0.06005891993783092,0.009162746728273422,0.9010989010989011,0.4403096903096903,1.0,False,False
qwen35_9b,Qwen3.5 9B,gpqa,cognitive,326,87,4,413,estimated,0.6441717791411042,0.6915591284112544,0.6523869966857062,0.01992490938946283,-0.019616968396146135,0.0578687542639336,0.16083916083916083,-0.044186716595069266,-0.0747300148911892,-0.013673251867975158,0.998001998001998,0.5313945313945315,1.0,False,False
qwen35_9b,Qwen3.5 9B,idea,conversational,201,143,0,344,estimated,0.5962843127022232,0.651497755975368,0.6301360331211078,0.02611656626819124,-0.012823143254811155,0.06431224241916159,0.1048951048951049,-0.024005416165490397,-0.05677701083950943,0.007062544092531376,0.922077922077922,0.4295704295704296,1.0,False,False
qwen35_9b,Qwen3.5 9B,idea,cognitive,201,143,0,344,estimated,0.5962843127022232,0.6269352538009254,0.5962147305430887,0.02092536495114721,-0.0055042454770528595,0.047371276853580974,0.06293706293706294,-0.02464193127858612,-0.04564760447243752,-0.0025657293853636057,0.99000999000999,0.3487101134159958,1.0,False,False
qwen35_9b,Qwen3.5 9B,math,conversational,238,200,1,438,estimated,0.6046428571428571,0.5884453781512605,0.574327731092437,-0.011226409311703545,-0.02689111987379495,0.003960987721480437,0.9270729270729271,-0.007556581532054731,-0.025196182881649487,0.00839711923822101,0.8211788211788211,1.0,1.0,False,False
qwen35_9b,Qwen3.5 9B,math,cognitive,238,200,1,438,estimated,0.6046428571428571,0.635609243697479,0.5975420168067227,0.01585425249278438,-0.003628517829542387,0.0367088560800398,0.06893106893106893,-0.027381961846125968,-0.04863824513843354,-0.007432893165047969,0.995004995004995,0.3487101134159958,1.0,False,False
qwen35_9b,Qwen3.5 9B,moral,conversational,243,242,0,485,estimated,0.5330238411046492,0.49624188008026393,0.5430058157330885,-0.021062465765580057,-0.03131999516496832,-0.011335960516163451,1.0,8.961841703359427e-05,-0.026140590174744023,0.026163367430564338,0.5074925074925075,1.0,1.0,False,False
qwen35_9b,Qwen3.5 9B,moral,cognitive,243,242,0,485,estimated,0.5330238411046492,0.5375982042648709,0.5287385640920994,0.007474685816860022,-0.0034775005009486434,0.018428614330823795,0.0979020979020979,-0.015965080387292028,-0.03311172755431323,0.0005625519221505496,0.961038961038961,0.420979020979021,1.0,False,False
qwen35_9b,Qwen3.5 9B,planning,conversational,438,51,3,489,estimated,0.6906616527889695,0.7330557793893813,0.8091592801504164,0.01678388322112655,-0.010295575253547606,0.04022342935311644,0.08691308691308691,0.038527238161329226,-0.0016675411696723107,0.07986401954606084,0.027972027972027972,0.39339607760660394,1.0,False,False
qwen35_9b,Qwen3.5 9B,planning,cognitive,438,51,3,489,estimated,0.6906616527889695,0.7964455188468081,0.8440325902050317,0.05332872619869664,0.017695369206501825,0.08299071738827711,0.003996003996003996,0.021223658904215167,-0.02020965740440773,0.06249842770014927,0.16083916083916083,0.08591408591408592,1.0,False,False
qwen35_9b,Qwen3.5 9B,safety,conversational,308,0,0,308,insufficient_high_low_support,,,,,,,,,,,,,,False,False
qwen35_9b,Qwen3.5 9B,safety,cognitive,308,0,0,308,insufficient_high_low_support,,,,,,,,,,,,,,False,False
qwen35_9b,Qwen3.5 9B,security,conversational,231,70,0,301,estimated,0.608843537414966,0.7014842300556586,0.6926406926406926,0.042114203012255796,-0.003648323805925043,0.08581329289901163,0.04295704295704296,-0.018729834777386274,-0.060633724637939534,0.01661626289657179,0.8201798201798202,0.27615241900956183,1.0,False,False
qwen35_9b,Qwen3.5 9B,security,cognitive,231,70,0,301,estimated,0.608843537414966,0.66852195423624,0.6236239950525665,0.0023599006047056426,-0.059226882988309054,0.051092536629505886,0.47152847152847155,-0.033217591431704295,-0.06655357728765822,-0.0015579887007066554,0.983016983016983,0.8815532293793163,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,code,conversational,44,106,1,150,estimated,0.8771440823327615,0.8484133790737565,0.8040308747855918,-0.0704954620323218,-0.13161292128158938,-0.01926229779505985,0.996003996003996,-0.06400495102732263,-0.14153736073311327,0.00569290656427451,0.955044955044955,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,code,cognitive,44,106,1,150,estimated,0.8771440823327615,0.8421955403087479,0.7761578044596913,-0.026880762994941083,-0.0802164254090251,0.01809914767720393,0.8421578421578422,-0.09947700267918054,-0.1670071804545136,-0.03134156340724773,0.998001998001998,1.0,1.0,False,False
